"filename", "language", "C", "C++", "Makefile", "comment", "blank", "total"
"c:\Users\mrpat\OneDrive\Documents\Github\csc4200-pa2\sprint2\Makefile", "Makefile", 0, 0, -17, 0, -9, -26
"c:\Users\mrpat\OneDrive\Documents\Github\csc4200-pa2\sprint2\include\protocol.h", "C++", 0, -79, 0, -31, -3, -113
"c:\Users\mrpat\OneDrive\Documents\Github\csc4200-pa2\sprint2\src\client.c", "C", -117, 0, 0, -12, -9, -138
"c:\Users\mrpat\OneDrive\Documents\Github\csc4200-pa2\sprint2\src\protocol.c", "C", -330, 0, 0, -63, -18, -411
"c:\Users\mrpat\OneDrive\Documents\Github\csc4200-pa2\sprint2\src\server.c", "C", -30, 0, 0, -10, -4, -44
"c:\Users\mrpat\OneDrive\Documents\Github\csc4200-pa2\sprint3\Makefile", "Makefile", 0, 0, 29, 3, 15, 47
"c:\Users\mrpat\OneDrive\Documents\Github\csc4200-pa2\sprint3\include\protocol.h", "C++", 0, 82, 0, 31, 3, 116
"c:\Users\mrpat\OneDrive\Documents\Github\csc4200-pa2\sprint3\src\client.c", "C", 220, 0, 0, 13, 11, 244
"c:\Users\mrpat\OneDrive\Documents\Github\csc4200-pa2\sprint3\src\protocol.c", "C", 366, 0, 0, 64, 23, 453
"c:\Users\mrpat\OneDrive\Documents\Github\csc4200-pa2\sprint3\src\server.c", "C", 175, 0, 0, 33, 8, 216
"Total", "-", 284, 3, 12, 28, 17, 344
